NAME,Gender,COUNTRY,Age,Major teams,Batting style,Bowling style,BATTING_ODIs_Mat,BATTING_ODIs_Inns,BATTING_ODIs_NO,BATTING_ODIs_Runs,BATTING_ODIs_Ave,BATTING_ODIs_BF,BATTING_ODIs_SR,BATTING_ODIs_100,BATTING_ODIs_50,BATTING_T20Is_Mat,BATTING_T20Is_Inns,BATTING_T20Is_NO,BATTING_T20Is_Runs,BATTING_T20Is_Ave,BATTING_T20Is_BF,BATTING_T20Is_SR,BATTING_T20Is_100,BATTING_T20Is_50,BOWLING_ODIs_Mat,BOWLING_ODIs_Inns,BOWLING_ODIs_Balls,BOWLING_ODIs_Runs,BOWLING_ODIs_Wkts,BOWLING_ODIs_Ave,BOWLING_ODIs_Econ,BOWLING_ODIs_SR,BOWLING_ODIs_4w,BOWLING_ODIs_5w,BOWLING_T20Is_Mat,BOWLING_T20Is_Inns,BOWLING_T20Is_Balls,BOWLING_T20Is_Runs,BOWLING_T20Is_Wkts,BOWLING_T20Is_Ave,BOWLING_T20Is_Econ,BOWLING_T20Is_SR,BOWLING_T20Is_4w,BOWLING_T20Is_5w,group
Erin McDonald,1,New Zealand,39.0,"['Central Districts Women,', 'New Zealand Women']",Right-hand bat,Slow left-arm orthodox,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,144.0,50.0,5.0,10.0,2.08,28.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45
Morna Nielsen,1,New Zealand,29.0,"['Melbourne Stars Women,', 'New Zealand Women,', 'Northern Districts Women,', 'Otago Women,', 'Southern Vipers']",Right-hand bat,"Left-arm medium, Slow left-arm orthodox",52.0,25.0,5.0,121.0,6.05,246.0,49.18,0.0,0.0,44.0,13.0,8.0,60.0,12.0,83.0,72.28,0.0,0.0,52.0,50.0,2352.0,1418.0,53.0,26.75,3.61,44.3,0.0,2.0,44.0,44.0,941.0,753.0,41.0,18.36,4.8,22.9,1.0,0.0,13
Thamsyn Newton,1,New Zealand,24.0,"['New Zealand Women,', 'Wellington Women']",Right-hand bat,Right-arm medium,10.0,7.0,1.0,57.0,9.5,101.0,56.43,0.0,0.0,9.0,5.0,3.0,6.0,3.0,17.0,35.29,0.0,0.0,10.0,10.0,384.0,275.0,11.0,25.0,4.29,34.9,0.0,1.0,9.0,8.0,138.0,126.0,9.0,14.0,5.47,15.3,0.0,0.0,8
Rachel Pullar,1,New Zealand,42.0,"['Central Districts Women,', 'New Zealand Women,', 'Otago Women']",Right-hand bat,Right-arm fast-medium,51.0,32.0,11.0,253.0,12.04,380.0,66.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,51.0,2592.0,1220.0,74.0,16.48,2.82,35.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
Kate Pulford,1,New Zealand,39.0,"['Australian Capital Territory Women,', 'Central Districts Women,', 'New Zealand Women']",Right-hand bat,Right-arm medium,46.0,40.0,0.0,743.0,18.57,1243.0,59.77,0.0,3.0,12.0,8.0,2.0,66.0,11.0,65.0,101.53,0.0,0.0,46.0,32.0,1202.0,791.0,30.0,26.36,3.94,40.0,1.0,0.0,12.0,12.0,234.0,186.0,11.0,16.9,4.76,21.2,0.0,0.0,8
Anna Peterson,1,New Zealand,29.0,"['New Zealand Emerging Players Women,', 'New Zealand Women,', 'New Zealand Women,', 'Northern Districts Women']",Right-hand bat,Right-arm offbreak,32.0,21.0,4.0,279.0,16.41,361.0,77.28,0.0,0.0,28.0,16.0,3.0,78.0,6.0,99.0,78.78,0.0,0.0,32.0,24.0,826.0,482.0,27.0,17.85,3.5,30.5,2.0,0.0,28.0,22.0,282.0,335.0,13.0,25.76,7.12,21.6,0.0,0.0,5
Liz Perry,1,New Zealand,32.0,"['Central Districts Women,', 'New Zealand Women,', 'Wellington Women']",Right-hand bat,Right-arm medium,17.0,13.0,4.0,201.0,22.33,282.0,71.27,0.0,1.0,31.0,29.0,7.0,369.0,16.77,383.0,96.34,0.0,1.0,17.0,2.0,48.0,50.0,0.0,0.0,6.25,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Katie Perkins,1,New Zealand,31.0,"['Auckland Women,', 'New Zealand Women']",Right-hand bat,Right-arm medium,67.0,51.0,12.0,1066.0,27.33,1571.0,67.85,0.0,3.0,49.0,39.0,14.0,428.0,17.12,452.0,94.69,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Justine Russell,1,New Zealand,45.0,"['Canterbury Women,', 'New Zealand Women,', 'Wellington Women']",Right-hand bat,Right-arm medium,5.0,4.0,1.0,8.0,2.66,18.0,44.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,156.0,84.0,1.0,84.0,3.23,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Sian Ruck,1,New Zealand,36.0,"['New Zealand Women,', 'Wellington Women']",Right-hand bat,Left-arm medium,27.0,12.0,8.0,48.0,12.0,144.0,33.33,0.0,0.0,37.0,9.0,5.0,16.0,4.0,36.0,44.44,0.0,0.0,27.0,26.0,1279.0,786.0,24.0,32.75,3.68,53.2,1.0,0.0,37.0,37.0,750.0,688.0,40.0,17.2,5.5,18.7,0.0,0.0,23
Hannah Rowe,1,New Zealand,23.0,"['Central Districts Under-21s Women,', 'Central Districts Women,', 'New Zealand Women']",Right-hand bat,Right-arm medium,19.0,8.0,3.0,62.0,12.4,99.0,62.62,0.0,0.0,18.0,7.0,4.0,23.0,7.66,27.0,85.18,0.0,0.0,19.0,19.0,752.0,471.0,19.0,24.78,3.75,39.5,0.0,0.0,18.0,14.0,192.0,210.0,10.0,21.0,6.56,19.2,0.0,0.0,8
Rebecca Steele,1,New Zealand,34.0,"['Canterbury Women,', 'New Zealand Women']",Right-hand bat,"Left-arm medium, Slow left-arm orthodox",32.0,12.0,6.0,41.0,6.83,68.0,60.29,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,31.0,1758.0,831.0,34.0,24.44,2.83,51.7,0.0,0.0,1.0,1.0,24.0,14.0,0.0,0.0,3.5,0.0,0.0,0.0,13
